*DEBUG* 	2012/04/15 - 14:33:58: Started dir copy
*DEBUG* 	2012/04/15 - 14:33:58: From /home/eihwaz/webdev/ps15b4/modules/germanext/install/copy//override/classes
*DEBUG* 	2012/04/15 - 14:33:58: To /home/eihwaz/webdev/ps15b4/override/classes
*DEBUG* 	2012/04/15 - 14:33:58: -----------------------------------------------------------
*DEBUG* 	2012/04/15 - 14:33:58: -- /home/eihwaz/webdev/ps15b4/modules/germanext/install/copy//override/classes/Category.php
*DEBUG* 	2012/04/15 - 14:33:58: -> /home/eihwaz/webdev/ps15b4/override/classes/Category.php
*DEBUG* 	2012/04/15 - 14:33:58: -----------------------------------------------------------
*DEBUG* 	2012/04/15 - 14:33:58: -- /home/eihwaz/webdev/ps15b4/modules/germanext/install/copy//override/classes/Combination.php
*DEBUG* 	2012/04/15 - 14:33:58: -> /home/eihwaz/webdev/ps15b4/override/classes/Combination.php
*DEBUG* 	2012/04/15 - 14:33:58: Started dir copy
*DEBUG* 	2012/04/15 - 14:33:58: From /home/eihwaz/webdev/ps15b4/modules/germanext/install/copy//override/classes/controller
*DEBUG* 	2012/04/15 - 14:33:58: To /home/eihwaz/webdev/ps15b4/override/classes/controller
*DEBUG* 	2012/04/15 - 14:33:58: -----------------------------------------------------------
*DEBUG* 	2012/04/15 - 14:33:58: -- /home/eihwaz/webdev/ps15b4/modules/germanext/install/copy//override/classes/controller/AdminController.php
*DEBUG* 	2012/04/15 - 14:33:58: -> /home/eihwaz/webdev/ps15b4/override/classes/controller/AdminController.php
*DEBUG* 	2012/04/15 - 14:33:58: -----------------------------------------------------------
*DEBUG* 	2012/04/15 - 14:33:58: -- /home/eihwaz/webdev/ps15b4/modules/germanext/install/copy//override/classes/controller/Controller.php
*DEBUG* 	2012/04/15 - 14:33:58: -> /home/eihwaz/webdev/ps15b4/override/classes/controller/Controller.php
*DEBUG* 	2012/04/15 - 14:33:58: -----------------------------------------------------------
*DEBUG* 	2012/04/15 - 14:33:58: -- /home/eihwaz/webdev/ps15b4/modules/germanext/install/copy//override/classes/Customer.php
*DEBUG* 	2012/04/15 - 14:33:58: -> /home/eihwaz/webdev/ps15b4/override/classes/Customer.php
*DEBUG* 	2012/04/15 - 14:33:58: -----------------------------------------------------------
*DEBUG* 	2012/04/15 - 14:33:58: -- /home/eihwaz/webdev/ps15b4/modules/germanext/install/copy//override/classes/Product.php
*DEBUG* 	2012/04/15 - 14:33:58: -> /home/eihwaz/webdev/ps15b4/override/classes/Product.php
*DEBUG* 	2012/04/15 - 14:33:58: Started dir copy
*DEBUG* 	2012/04/15 - 14:33:58: From /home/eihwaz/webdev/ps15b4/modules/germanext/install/copy//override/controllers
*DEBUG* 	2012/04/15 - 14:33:58: To /home/eihwaz/webdev/ps15b4/override/controllers
